rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
1,Janos Pintz,Janos Pintz,,,,,,18,,,,,,,,,,,
2,Paul Pollack,Paul Pollack,,,,,,5,,,,,,,,,,,
3,D. A. Goldston,D. A. Goldston,,,,,,6,,,,,,,,,,,
4,H. J. Weber,H. J. Weber,,,,,,7,,,,,,,,,,,
5,James Maynard,James Maynard,,,,,,5,,,,,,,,,,,
6,Marek Wolf,Marek Wolf,,,,,,5,,,,,,,,,,,
7,Stephan Ramon Garcia,Stephan Ramon Garcia,,,,,,4,,,,,,,,,,,
8,William D. Banks,William D. Banks,,,,,,4,,,,,,,,,,,
9,Joni Teräväinen,Joni Teravainen,,,,,,4,,,,,,,,,,,
10,Yoichi Motohashi,Yoichi Motohashi,,,,,,3,,,,,,,,,,,
11,C. Y. Yildirim,C. Y. Yildirim,,,,,,3,,,,,,,,,,,
12,Vladimir Shevelev,Vladimir Shevelev,,,,,,3,,,,,,,,,,,
13,P. F. Kelly,P. F. Kelly,,,,,,3,,,,,,,,,,,
14,Terry Pilling,Terry Pilling,,,,,,3,,,,,,,,,,,
15,Alexei Kourbatov,Alexei Kourbatov,,,,,,4,,,,,,,,,,,
16,Florian Luca,Florian Luca,,,,,,3,,,,,,,,,,,
17,Kevin Ford,Kevin Ford,,,,,,3,,,,,,,,,,,
18,Terence Tao,Terence Tao,,,,,,4,,,,,,,,,,,
19,J. P. Keating,J. P. Keating,,,,,,3,,,,,,,,,,,
20,Matt Visser,Matt Visser,,,,,,4,,,,,,,,,,,
21,Ben Green,Ben Green,,,,,,3,,,,,,,,,,,
22,István B. Kolossváry,Istvan B. Kolossvary,,,,,,4,,,,,,,,,,,
23,Giovanni Coppola,Giovanni Coppola,,,,,,4,,,,,,,,,,,
24,Steven J. Miller,Steven J. Miller,,,,,,3,,,,,,,,,,,
25,Lior Bary-Soroker,Lior Bary-Soroker,,,,,,3,,,,,,,,,,,
26,Jie Wu,Jie Wu,,,,,,3,,,,,,,,,,,
27,Tsz Ho Chan,Tsz Ho Chan,,,,,,3,,,,,,,,,,,
28,Benoit Cloitre,Benoit Cloitre,,,,,,3,,,,,,,,,,,
