rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
1,Janos Pintz,Janos Pintz,Alfred Renyi Institute of Mathematics,HU,,,,24,,,,,,,,,,,
2,Kaisa Matomäki,Kaisa Matomaki,University of Turku,FI,,,,18,,,,,,,,,,,
3,D. A. Goldston,D. A. Goldston,San Jose State University,US,,,,21,,,,,,,,,,,
4,Terence Tao,Terence Tao,University of California Los Angeles,US,,,,22,,,,,,,,,,,
5,Igor E. Shparlinski,Igor E. Shparlinski,University of New South Wales,AU,,,,21,10,36,,,,2008,2025,,,,
6,Joni Teräväinen,Joni Teravainen,University of Turku,FI,,,,15,,,,,,,,,,,
7,A. Languasco,A. Languasco,University of Padua,IT,,,,13,,,,,,,,,,,
8,Giovanni Coppola,Giovanni Coppola,University of Salerno,IT,,,,18,,,,,,,,,,,
9,Tsz Ho Chan,Tsz Ho Chan,Kennesaw State University,US,,,,15,3,1,,,,2005,2024,,,,
10,Maksym Radziwiłł,Maksym Radziwill,Northwestern University,US,,,,15,,,,,,,,,,,
11,A. Zaccagnini,A. Zaccagnini,University of Parma,IT,,,,13,,,,,,,,,,,
12,Marek Wolf,Marek Wolf,Cardinal Stefan Wyszynski University,PL,,,,12,,,,,,,,,,,
13,K. Soundararajan,K. Soundararajan,Stanford University,US,,,,12,,,,,,,,,,,
14,Kevin Ford,Kevin Ford,University of Illinois Urbana-Champaign,US,,,,15,,,,,,,,,,,
15,James Maynard,James Maynard,University of Oxford,GB,,,,12,,,,,,,,,,,
16,Paul Pollack,Paul Pollack,University of Georgia,US,,,,11,,,,,,,,,,,
17,William D. Banks,William D. Banks,University of Missouri,US,,,,10,,,,,,,,,,,
18,Jori Merikoski,Jori Merikoski,University of Turku,FI,,,,11,,,,,,,,,,,
19,Ofir Gorodetsky,Ofir Gorodetsky,University of Oxford,GB,,,,8,,,,,,,,,,,
20,C. Y. Yildirim,C. Y. Yildirim,Bogazici University,TR,,,,9,,,,,,,,,,,
21,Sergei Konyagin,Sergei Konyagin,Steklov Mathematical Institute,RU,,,,8,,,,,,,,,,,
22,Moubariz Z. Garaev,Moubariz Z. Garaev,National Autonomous University of Mexico,MX,,,,7,,,,,,,,,,,
23,Brad Rodgers,Brad Rodgers,Queen's University,CA,,,,7,,,,,,,,,,,
24,J. P. Keating,J. P. Keating,University of Oxford,GB,,,,7,,,,,,,,,,,
25,Vivian Kuperberg,Vivian Kuperberg,ETH Zurich,CH,,,,8,,,,,,,,,,,
26,Tristan Freiberg,Tristan Freiberg,University of Waterloo,CA,,,,7,,,,,,,,,,,
27,Lior Bary-Soroker,Lior Bary-Soroker,Tel Aviv University,IL,,,,7,3,2,,,,2013,2018,,,,
28,Hao Pan,Hao Pan,Nanjing University,CN,,,,6,,,,,,,,,,,
29,Adrian Dudek,Adrian Dudek,University of Southern Queensland,AU,,,,7,,,,,,,,,,,
30,Alexei Kourbatov,Alexei Kourbatov,JavaScripter.net,US,,,,7,,,,,,,,,,,
31,Florian Luca,Florian Luca,Stellenbosch University,ZA,,,,7,,,,,,,,,,,
32,Runbo Li,Runbo Li,,,,,,6,,,,,,,,,,,
33,Yu-Chen Sun,Yu-Chen Sun,East China Jiaotong University,CN,,,,6,,,,,,,,,,,
34,Xuancheng Shao,Xuancheng Shao,University of Kentucky,US,,,,5,,,,,,,,,,,
35,Jesse Thorner,Jesse Thorner,University of Illinois Urbana-Champaign,US,,,,7,,,,,,,,,,,
36,Efrat Bank,Efrat Bank,Technion Israel Institute of Technology,IL,,,,5,3,2,,,,2013,2018,,,,
37,Fred B. Holt,Fred B. Holt,,,,,,8,,,,,,,,,,,
38,Jaeyoon Kim,Jaeyoon Kim,Seoul National University,KR,,,,7,,,,,,,,,,,
39,Jie Wu,Jie Wu,Centre National de la Recherche Scientifique,FR,,,,7,,,,,,,,,,,
40,Alexander P. Mangerel,Alexander P. Mangerel,Durham University,GB,,,,6,,,,,,,,,,,
41,H. J. Weber,H. J. Weber,,,,,,7,,,,,,,,,,,
42,Felix Sidokhine,Felix Sidokhine,,,,,,5,,,,,,,,,,,
43,Stephan Baier,Stephan Baier,Ramakrishna Mission Vivekananda University,IN,,,,6,,,,,,,,,,,
44,Robert J. Lemke Oliver,Robert J. Lemke Oliver,Tufts University,US,,,,5,,,,,,,,,,,
45,Stephan Ramon Garcia,Stephan Ramon Garcia,Pomona College,US,,,,5,,,,,,,,,,,
46,Will Sawin,Will Sawin,Princeton University,US,,,,5,,,,,,,,,,,
47,Ben Green,Ben Green,University of Oxford,GB,,,,7,,,,,,,,,,,
48,Yuta Suzuki,Yuta Suzuki,Rikkyo University,JP,,,,4,,,,,,,,,,,
49,Zeev Rudnick,Zeev Rudnick,Tel Aviv University,IL,,,,5,,,,,,,,,,,
50,Johan Andersson,Johan Andersson,Orebro University,SE,,,,5,,,,,,,,,,,
51,David Lowry-Duda,David Lowry-Duda,ICERM Brown University,US,,,,5,,,,,,,,,,,
52,Louis-Pierre Arguin,Louis-Pierre Arguin,University of Oxford,GB,,,,6,,,,,,,,,,,
53,A. H. Ledoan,A. H. Ledoan,University of Tennessee at Chattanooga,US,,,,5,,,,,,,,,,,
54,Bingrong Huang,Bingrong Huang,Shandong University,CN,,,,5,,,,,,,,,,,
55,Carl Pomerance,Carl Pomerance,Dartmouth College,US,,,,6,,,,,,,,,,,
56,Sun-Kai Leung,Sun-Kai Leung,University of Montreal,CA,,,,5,,,,,,,,,,,
57,Michael Th. Rassias,Michael Th. Rassias,University of Glasgow,GB,,,,5,,,,,,,,,,,
58,Matt Visser,Matt Visser,,,,,,5,,,,,,,,,,,
59,Andrew Granville,Andrew Granville,University of Montreal,CA,,,,4,,,,,,,,,,,
60,Alexandru Zaharescu,Alexandru Zaharescu,University of Illinois Urbana-Champaign,US,,,,6,,,,,,,,,,,
61,Chantal David,Chantal David,Concordia University,CA,,,,5,,,,,,,,,,,
